id,question1,question2,question3,question4,question5,question6,question7,question1,question17,question18,question19,question2,question22,question23,question24,question3,question4,question5,question6,question7,question8,question10,question11,question12,question13,question14,question15,question16,question20,question21,question25,question26,question27,question9,food_val_state,food_val_trait,food_values,n_accepted_reco,n_queries,n_reco,n_seed_ingredients,queries,seed_ingredients
-LtFc0hxcyIIe5B-SPoW,1,2,3,4,5,6,5,0,3,6,1,2,1,2,3,4,5,5,2,0,1,6,6,6,6,6,6,6,6,6,6,6,6,6,"{'comfort': -1, 'food_fillingness': 1, 'healthiness': 1}","{'comfort': 0.0, 'food_fillingness': 0.0, 'healthiness': -0.04}","{'comfort': -0.5, 'food_fillingness': 0.5, 'healthiness': 0.98}",3,3,5,3,"['salmon&maxReadyTime=61&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5', 'Quorn&maxReadyTime=61&excludeIngredients=salmon&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5', 'eggs%20&maxReadyTime=61&excludeIngredients=salmon&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5']","['salmon', 'Quorn', 'eggs%20']",human
-LtFhgQPQiLcqR0tL5L-,1,2,3,4,5,6,5,0,3,6,1,2,1,2,3,4,5,5,2,0,1,6,6,6,6,6,6,6,6,6,6,6,6,6,"{'comfort': -1, 'food_fillingness': 1, 'healthiness': 1}","{'comfort': 0.0, 'food_fillingness': 0.0, 'healthiness': -0.04}","{'comfort': -0.5, 'food_fillingness': 0.5, 'healthiness': 0.98}",3,3,5,3,"['salmon&maxReadyTime=61&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5', 'Quorn&maxReadyTime=61&excludeIngredients=salmon&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5', 'eggs%20&maxReadyTime=61&excludeIngredients=salmon&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5']","['salmon', 'Quorn', 'eggs%20']",human
-LtFiBiix3Of60iNdHFu,0,1,0,3,0,5,4
-LtFiFESE-2HW6e2Empy,2,2,3,2,2,3,3,3,3,3,3,0,0,0,1,1,2,1,1,0,0,6,0,0,4,3,5,0,3,3,4,0,6,0,"{'comfort': -1, 'food_fillingness': 1, 'healthiness': 1}","{'comfort': 0.0, 'food_fillingness': 0.0, 'healthiness': 0.02}","{'comfort': -0.5, 'food_fillingness': 0.5, 'healthiness': 1}",2,1,5,1,['%20salad&maxReadyTime=5000&diet=vegan&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5'],['%20salad'],human
-LtFiQJ_inza7R579v6U,3,5,5,4,5,5,4
-LtFiWz8A76-Oko0q4f9,3,4,3,2,4,5,4,2,4,4,3,5,2,2,2,2,4,1,5,3,4,2,4,2,5,5,2,4,4,4,4,5,6,4,"{'comfort': -1, 'food_fillingness': -1, 'healthiness': 1}","{'comfort': -0.016666666666666666, 'food_fillingness': -0.02, 'healthiness': 0.0}","{'comfort': -0.5083333333333333, 'food_fillingness': -0.51, 'healthiness': 1}",1,1,3,1,['spinach&maxReadyTime=5000&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5'],['spinach'],NONE
-LtFiZYr1OB1E0HUqGr-,2,2,3,3,3,4,3
-LtFi_cI6aVge9O_A3YY,1,2,1,2,5,5,1,1,1,1,1,1,1,3,4,1,4,1,4,1,5,0,1,1,5,1,1,1,5,1,5,1,6,1,"{'comfort': 0, 'food_fillingness': -1, 'healthiness': -1}","{'comfort': 0.016666666666666666, 'food_fillingness': 0.02, 'healthiness': -0.04}","{'comfort': 0.008333333333333333, 'food_fillingness': -0.49, 'healthiness': -0.020000000000000018}",0,2,5,2,"['onion&maxReadyTime=21&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5', 'mushrooms&maxReadyTime=21&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5']","['onion', 'mushrooms']",robot
-LtFiciDs2QL2OsiEXMt,1,3,3,1,3,3,3,5,5,5,5,6,1,3,1,4,5,4,4,0,3,3,3,5,6,5,3,3,5,5,5,3,6,5,"{'comfort': -1, 'food_fillingness': -1, 'healthiness': 1}","{'comfort': -0.03333333333333333, 'food_fillingness': -0.04, 'healthiness': 0.0}","{'comfort': -0.5166666666666667, 'food_fillingness': -0.52, 'healthiness': 1}",0,1,1,1,['spinach&maxReadyTime=21&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5'],['spinach'],NONE
-LtFidRia7mn0K5lyKff,1,1,2,1,0,3,2,4,4,4,4,3,1,3,3,2,3,3,5,1,4,4,2,2,4,4,3,2,4,4,3,4,6,4,"{'comfort': -1, 'food_fillingness': 1, 'healthiness': 1}","{'comfort': 0.03333333333333333, 'food_fillingness': 0.04, 'healthiness': 0.02}","{'comfort': -0.48333333333333334, 'food_fillingness': 0.52, 'healthiness': 1}",1,4,3,3,"['salmon&maxReadyTime=21&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5', 'Quorn&maxReadyTime=21&excludeIngredients=salmon&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5', 'Quorn&maxReadyTime=21&excludeIngredients=salmon&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5', 'eggs%20&maxReadyTime=21&excludeIngredients=salmon&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5']","['salmon', 'Quorn', 'eggs%20']",human
-LtFii3ZjVCMztBQV-XY,1,3,3,2,0,3,1
-LtFiklzKe1x_zFX_nsW,3,1,4,2,5,4,3
-LtFimhJTci9ZxWtKQXd,3,2,3,3,4,4,4,5,6,6,6,3,4,2,3,6,6,5,5,5,0,2,6,4,6,6,5,4,5,6,1,0,6,5,"{'comfort': -1, 'food_fillingness': -1, 'healthiness': 0}","{'comfort': -0.016666666666666666, 'food_fillingness': -0.02, 'healthiness': 0.02}","{'comfort': -0.5083333333333333, 'food_fillingness': -0.51, 'healthiness': 0.51}",1,1,1,1,['pepper&maxReadyTime=21&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5'],['pepper'],human
-LtFinsbiCQcgsfim31x,2,1,4,3,4,4,4
-LtFiqhNE__exfyHR99Q,1,2,1,2,2,3,2,2,1,3,3,4,0,4,0,3,4,4,6,3,2,4,4,4,4,2,6,0,3,3,5,0,6,3,"{'comfort': -1, 'food_fillingness': 1, 'healthiness': -1}","{'comfort': 0.016666666666666666, 'food_fillingness': 0.02, 'healthiness': -0.04}","{'comfort': -0.49166666666666664, 'food_fillingness': 0.51, 'healthiness': -0.020000000000000018}",1,2,5,2,"['moussaka&maxReadyTime=5000&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5', 'sandwich&maxReadyTime=5000&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5']","['moussaka', 'sandwich']",NONE
-LtFit72wYow-_-d4N1k,2,3,0,2,1,5,0,4,1,3,4,3,1,3,4,2,2,4,3,2,4,2,3,1,5,1,1,1,1,1,4,1,6,0,"{'comfort': -1, 'food_fillingness': 1, 'healthiness': 1}","{'comfort': 0.1, 'food_fillingness': 0.12, 'healthiness': -0.06}","{'comfort': -0.45, 'food_fillingness': 0.56, 'healthiness': 0.97}",1,1,5,1,['salmon&maxReadyTime=5000&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5'],['salmon'],human
-LtFitj_dktTvR7jWptb,4,2,3,2,4,5,4,4,5,5,5,4,4,3,5,3,6,4,6,2,3,5,6,4,6,4,5,4,5,5,3,1,6,4,"{'comfort': -1, 'food_fillingness': 1, 'healthiness': 1}","{'comfort': -0.016666666666666666, 'food_fillingness': -0.02, 'healthiness': 0.06}","{'comfort': -0.5083333333333333, 'food_fillingness': 0.49, 'healthiness': 1}",2,1,2,1,['%20salad&maxReadyTime=21&diet=vegan&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5'],['%20salad'],robot
-LtFiuxcodiBX3Lq-jMx,2,5,5,3,5,5,4
-LtFixxOUXFyaJoNuwNg,0,1,2,4,4,5,0
-LtFiz99xbLzUJa-qsR5,2,1,5,1,5,4,4,2,4,4,4,5,1,1,5,2,4,5,5,3,4,1,2,2,6,5,4,5,4,4,2,2,6,4,"{'comfort': -1, 'food_fillingness': -1, 'healthiness': 1}","{'comfort': -0.06666666666666667, 'food_fillingness': -0.08, 'healthiness': 0.1}","{'comfort': -0.5333333333333333, 'food_fillingness': -0.54, 'healthiness': 1}",3,1,5,1,['spinach&maxReadyTime=5000&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5'],['spinach'],robot
-LtFizK6Xj-o4k6I043J,3,1,3,1,1,3,4
-LtFjDsmpAnI3qDtEPGk,3,1,6,1,5,5,1
-LtFjSynSUeWgHpzfXgy,2,5,2,2,3,4,3,5,3,3,4,5,3,3,4,6,6,4,5,5,2,2,5,3,5,5,5,5,3,3,3,2,6,6,"{'comfort': -1, 'food_fillingness': 1, 'healthiness': 1}","{'comfort': 0.0, 'food_fillingness': 0.0, 'healthiness': -0.06}","{'comfort': -0.5, 'food_fillingness': 0.5, 'healthiness': 0.97}",3,1,3,1,['salmon&maxReadyTime=5000&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5'],['salmon'],robot
-LtFjjCLp78bjYGkof6_,1,3,0,4,1,3,4
-LtFjlWaHZk_MGCz3BNS,4,3,5,6,5,4,3,5,6,6,6,4,5,4,4,6,6,6,5,5,2,5,6,5,6,6,5,5,5,5,2,5,6,5,"{'comfort': 0, 'food_fillingness': -1, 'healthiness': 0}","{'comfort': 0.03333333333333333, 'food_fillingness': 0.04, 'healthiness': 0.0}","{'comfort': 0.016666666666666666, 'food_fillingness': -0.48, 'healthiness': 0.5}",4,1,5,1,['onion&maxReadyTime=5000&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5'],['onion'],human
-LtFjy5TQJf-KsMYEXE1,4,4,4,2,4,5,5
-LtFk1AuAqiRJwt_NRfb,2,4,2,2,5,4,5,6,6,6,6,6,6,2,2,6,6,6,6,6,1,6,6,6,6,6,6,6,6,6,2,4,6,6,"{'comfort': -1, 'food_fillingness': -1, 'healthiness': 1}","{'comfort': -0.06666666666666667, 'food_fillingness': -0.08, 'healthiness': -0.04}","{'comfort': -0.5333333333333333, 'food_fillingness': -0.54, 'healthiness': 0.98}",0,1,2,1,['spinach&maxReadyTime=21&excludeIngredients=cheese&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5'],['spinach'],NONE
-LtFk5XourfscJfP7Cgf,1,2,2,3,2,3,3,3,4,4,4,4,2,3,2,5,5,4,5,0,0,5,5,5,5,5,4,3,4,5,4,2,6,5,"{'comfort': -1, 'food_fillingness': -1, 'healthiness': 1}","{'comfort': 0.016666666666666666, 'food_fillingness': 0.02, 'healthiness': -0.04}","{'comfort': -0.49166666666666664, 'food_fillingness': -0.49, 'healthiness': 0.98}",1,1,1,1,['spinach&maxReadyTime=5000&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5'],['spinach'],human
-LtFkjQ8T31ezXZZX6Je,3,3,3,4,4,4,3,3,4,5,5,4,5,4,0,4,3,5,5,2,3,5,5,4,5,2,4,2,4,5,6,1,6,4,"{'comfort': -1, 'food_fillingness': -1, 'healthiness': 0}","{'comfort': 0.016666666666666666, 'food_fillingness': 0.02, 'healthiness': -0.02}","{'comfort': -0.49166666666666664, 'food_fillingness': -0.49, 'healthiness': 0.49}",1,1,5,1,['pepper&maxReadyTime=5000&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5'],['pepper'],robot
-LtFl9BoIRn2rnnz_6KY,1,3,3,3,5,5,5,0,0,0,0,0,0,6,0,0,0,0,0,0,6,0,0,0,4,0,3,0,0,0,6,0,6,0,"{'comfort': -1, 'food_fillingness': 1, 'healthiness': 1}","{'comfort': -0.03333333333333333, 'food_fillingness': -0.04, 'healthiness': -0.04}","{'comfort': -0.5166666666666667, 'food_fillingness': 0.48, 'healthiness': 0.98}",0,4,5,3,"['salmon&maxReadyTime=21&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5', 'Quorn&maxReadyTime=21&excludeIngredients=salmon&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5', 'Quorn&maxReadyTime=21&excludeIngredients=salmon&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5', 'eggs%20&maxReadyTime=21&excludeIngredients=salmon&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5']","['salmon', 'Quorn', 'eggs%20']",NONE
-LtFlTzyNzzeVct2lO_l,2,2,2,3,2,3,3,2,2,2,2,5,1,4,3,2,5,3,5,4,1,3,3,2,5,3,3,1,2,2,6,0,6,4,"{'comfort': -1, 'food_fillingness': -1, 'healthiness': 0}","{'comfort': 0.016666666666666666, 'food_fillingness': 0.02, 'healthiness': -0.02}","{'comfort': -0.49166666666666664, 'food_fillingness': -0.49, 'healthiness': 0.49}",2,1,5,1,['pepper&maxReadyTime=21&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5'],['pepper'],human
-LtFxB2Y8x-rLjeCa1R9,2,2,2,3,2,3,3,2,2,2,2,5,1,4,3,2,5,3,5,4,1,3,3,2,5,3,3,1,2,2,6,0,6,4,"{'comfort': -1, 'food_fillingness': -1, 'healthiness': 0}","{'comfort': 0.016666666666666666, 'food_fillingness': 0.02, 'healthiness': -0.02}","{'comfort': -0.49166666666666664, 'food_fillingness': -0.49, 'healthiness': 0.49}",2,1,5,1,['pepper&maxReadyTime=21&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5'],['pepper'],human
-LtFxFUT5BD7Q78o8VLx,2,3,4,2,5,2,4
-LtGIVWWirQKE_DpkNpm,2,3,4,2,5,2,4
-LtGK1IKctr6L5Dtar6P,4,4,5,2,5,4,1,5,5,5,5,5,3,1,3,3,5,5,5,3,3,4,5,5,5,5,5,5,4,5,5,1,6,5,"{'comfort': -1, 'food_fillingness': 0, 'healthiness': 1}","{'comfort': 0.0, 'food_fillingness': 0.0, 'healthiness': 0.06}","{'comfort': -0.5, 'food_fillingness': 0.0, 'healthiness': 1}",4,1,5,1,['carrot&maxReadyTime=5000&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5'],['carrot'],robot
-LtGK2yi3vzw-tbMjdfF,1,4,2,1,3,5,1
-LtGK31t0So6g2_BK8rn,4,3,5,2,3,4,3,5,4,5,4,5,0,1,1,2,6,1,5,0,4,4,4,4,4,5,4,4,5,3,5,2,6,5,"{'comfort': -1, 'food_fillingness': -1, 'healthiness': 1}","{'comfort': 0.0, 'food_fillingness': 0.0, 'healthiness': 0.08}","{'comfort': -0.5, 'food_fillingness': -0.5, 'healthiness': 1}",1,1,1,1,['spinach&maxReadyTime=21&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5'],['spinach'],NONE
-LtGK4RNa5JROYYqjKzd,5,4,3,4,3,5,6,5,5,5,4,5,5,2,5,5,5,5,5,3,3,4,4,4,5,5,5,5,5,4,3,5,6,3,"{'comfort': -1, 'food_fillingness': 1, 'healthiness': 1}","{'comfort': 0.0, 'food_fillingness': 0.0, 'healthiness': 0.0}","{'comfort': -0.5, 'food_fillingness': 0.5, 'healthiness': 1}",1,1,1,1,['salmon&maxReadyTime=21&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5'],['salmon'],robot
-LtGK4_MZ7Flco1yrnUz,2,0,3,3,5,3,4,5,3,3,2,2,4,1,1,5,6,4,5,4,2,5,5,3,6,4,5,2,2,2,5,1,6,5,"{'comfort': 0, 'food_fillingness': -1, 'healthiness': 1}","{'comfort': -0.05, 'food_fillingness': -0.06, 'healthiness': 0.04}","{'comfort': -0.025, 'food_fillingness': -0.53, 'healthiness': 1}",2,1,2,1,['spinach&maxReadyTime=21&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5'],['spinach'],NONE
-LtGK4aIPhwYrHY-l13R,5,2,4,2,0,2,0,4,1,1,4,5,0,0,0,1,6,0,4,3,5,1,6,4,6,5,5,4,1,1,5,1,6,6,"{'comfort': -1, 'food_fillingness': 1, 'healthiness': 0}","{'comfort': 0.06666666666666667, 'food_fillingness': 0.08, 'healthiness': 0.1}","{'comfort': -0.4666666666666667, 'food_fillingness': 0.54, 'healthiness': 0.55}",2,1,4,1,['eggs%20&maxReadyTime=5000&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5'],['eggs%20'],NONE
-LtGK8fA2i3CcryE4-ay,3,1,3,2,4,0,3
-LtGK9hHp1GdNBBGQXll,2,3,4,3,5,5,5,4,6,6,6,2,2,4,2,5,5,4,5,4,2,3,5,4,6,6,5,6,6,6,4,5,6,6,"{'comfort': -1, 'food_fillingness': -1, 'healthiness': 1}","{'comfort': -0.03333333333333333, 'food_fillingness': -0.04, 'healthiness': 0.0}","{'comfort': -0.5166666666666667, 'food_fillingness': -0.52, 'healthiness': 1}",2,1,5,1,['spinach&maxReadyTime=21&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5'],['spinach'],NONE
-LtGKLI73Avd447nZR5h,3,4,4,3,3,5,3
-LtGKzoBENthpgiE4mBO,6,3,5,3,4,5,4,4,5,4,5,6,2,5,3,4,5,3,4,4,1,3,4,5,4,3,4,5,4,3,4,3,6,5,"{'comfort': -1, 'food_fillingness': 1, 'healthiness': 0}","{'comfort': 0.0, 'food_fillingness': 0.0, 'healthiness': 0.1}","{'comfort': -0.5, 'food_fillingness': 0.5, 'healthiness': 0.55}",1,3,1,2,"['Quorn&maxReadyTime=21&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5', 'Quorn&maxReadyTime=21&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5', 'eggs%20&maxReadyTime=21&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5']","['Quorn', 'eggs%20']",NONE
-LtGLEord2fvIDWduDeu,3,3,3,2,4,1,1,1,1,1,1,6,0,0,4,4,4,2,6,2,5,4,2,1,6,2,3,4,1,1,6,0,6,1,"{'comfort': -1, 'food_fillingness': -1, 'healthiness': 1}","{'comfort': -0.03333333333333333, 'food_fillingness': -0.04, 'healthiness': 0.02}","{'comfort': -0.5166666666666667, 'food_fillingness': -0.52, 'healthiness': 0.51}",0,1,2,1,['pepper&maxReadyTime=21&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5'],['pepper'],robot
-LtGMJK3TZWHcbaQApjp,2,3,4,5,4,4,3,3,3,4,3,4,1,3,5,3,2,4,5,3,3,3,3,2,4,2,2,3,3,3,2,1,6,4,"{'comfort': -1, 'food_fillingness': 1, 'healthiness': 0}","{'comfort': 0.03333333333333333, 'food_fillingness': 0.04, 'healthiness': -0.04}","{'comfort': -0.48333333333333334, 'food_fillingness': 0.52, 'healthiness': 0.48}",1,3,2,2,"['Quorn&maxReadyTime=21&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5', 'Quorn&maxReadyTime=21&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5', 'eggs%20&maxReadyTime=21&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5']","['Quorn', 'eggs%20']",NONE
-LtGMfJPJrkuQeNARKrc,6,4,6,4,5,5,3,0,1,2,4,6,0,4,0,2,1,2,3,1,6,5,0,3,6,6,4,1,4,4,5,5,6,6,"{'comfort': -1, 'food_fillingness': -1, 'healthiness': 0}","{'comfort': 0.016666666666666666, 'food_fillingness': 0.02, 'healthiness': 0.08}","{'comfort': -0.49166666666666664, 'food_fillingness': -0.49, 'healthiness': 0.54}",0,1,4,1,['pepper&maxReadyTime=21&diet=vegan&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5'],['pepper'],robot
ack,6,4,6,4,5,5,3,0,1,2,4,6,0,4,0,2,1,2,3,1,6,5,0,3,6,6,4,1,4,4,5,5,6,6,"{'comfort': -1, 'food_fillingness': -1, 'healthiness': 0}","{'comfort': 0.016666666666666666, 'food_fillingness': 0.02, 'healthiness': 0.08}","{'comfort': -0.49166666666666664, 'food_fillingness': -0.49, 'healthiness': 0.54}",0,1,4,1,['pepper&maxReadyTime=21&diet=vegan&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5'],['pepper'],robot
xp_condition,6,4,6,4,5,5,3,0,1,2,4,6,0,4,0,2,1,2,3,1,6,5,0,3,6,6,4,1,4,4,5,5,6,6,"{'comfort': -1, 'food_fillingness': -1, 'healthiness': 0}","{'comfort': 0.016666666666666666, 'food_fillingness': 0.02, 'healthiness': 0.08}","{'comfort': -0.49166666666666664, 'food_fillingness': -0.49, 'healthiness': 0.54}",0,1,4,1,['pepper&maxReadyTime=21&diet=vegan&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5'],['pepper'],robot
