id,prolific_id,XP_condition,CA_familiarity,age,education,employment,freq_cook,from,gender,living_in_UK,fq1,fq2,fq3,fq4,fq5,fq6,fq7,q1,q17,q18,q19,q2,q24,q3,q4,q5,q6,q7,q8,q8_r,q10,q11,q12,q13,q14,q15,q16,q20,q21,q27,q9,food_val_state,food_val_trait,food_values,n_accepted_reco,n_queries,n_reco,n_seed_ingredients,queries,seed_ingredients,duration,free_text_about_cora,free_text_about_study
LyECVvgPgU7TfCcfHFP,5be4ee5144b3de0001f0f4d2,button_dialog,somewhat_familiar,18-29,udergrad,['full-time'],once_day,Spain,male,not_in_UK,0,4,0,5,0,0,0,6,3,3,3,4,2,6,5,5,6,5,0,6,3,5,3,4,5,3,4,3,3,6,5,"{'food_fillingness': 0, 'healthiness': 0}","{'comfort': 0.20833333333333334, 'food_fillingness': 0.20833333333333334, 'healthiness': -0.375}","{'food_fillingness': 0.10416666666666667, 'healthiness': -0.1875}",0,1,1,1,['&maxReadyTime=5000&includeIngredients=cheese&fillIngredients=true&addRecipeInformation=true&minCalories=0&minFat=0&minSugar=0&minProtein=0&minCarbs=0&minSodium=0&number=2'],['cheese'],00:05:31,,
LyECh4CjD0zVa3Yarxo,5ab4e1b861533800011c745e,button_dialog,not_familiar,30-49,graduate,['unemployed'],several_t_w,Greece,female,not_in_UK,3,4,4,3,4,4,2,4,3,1,1,1,0,3,1,1,4,1,4,2,3,0,1,4,0,1,1,1,1,6,1,"{'food_fillingness': 1.0, 'healthiness': 0.5}","{'comfort': 0.041666666666666664, 'food_fillingness': 0.041666666666666664, 'healthiness': 0.0}","{'food_fillingness': 0.5208333333333334, 'healthiness': 0.25}",1,1,2,1,['&maxReadyTime=21&includeIngredients=chicken&fillIngredients=true&addRecipeInformation=true&minCalories=0&minFat=0&minSugar=0&minProtein=0&minCarbs=0&minSodium=0&number=10'],['chicken'],00:03:55,,
LyECv_N6Ct5GtsbPaL3,5ab529410527ba0001c16f4e,button_dialog,somewhat_familiar,30-49,graduate,['student'],several_t_w,UK ,female,born_here,4,3,5,4,5,4,5,3,3,4,5,2,1,4,5,5,6,1,2,4,5,5,3,6,2,1,1,5,4,6,5,"{'food_fillingness': -0.75, 'healthiness': 0.5}","{'comfort': -0.08333333333333333, 'food_fillingness': -0.08333333333333333, 'healthiness': 0.08333333333333333}","{'food_fillingness': -0.4166666666666667, 'healthiness': 0.2916666666666667}",2,1,3,1,['&maxReadyTime=11&includeIngredients=avocado&fillIngredients=true&addRecipeInformation=true&minCalories=0&minFat=0&minSugar=0&minProtein=0&minCarbs=0&minSodium=0&number=10'],['avocado'],00:03:55,,
LyEDAP40MGQfzHpcm5-,5bf6965550d22c0001469c23,button_dialog,not_familiar,18-29,graduate,"['full-time', 'student']",occasionnaly,portugal,female,not_in_UK,0,3,4,2,5,5,3,5,3,4,4,4,3,4,5,4,6,4,5,1,4,3,5,5,4,5,3,4,4,6,5,"{'food_fillingness': 0.5, 'healthiness': 0.75}","{'comfort': -0.041666666666666664, 'food_fillingness': -0.041666666666666664, 'healthiness': -0.041666666666666664}","{'food_fillingness': 0.22916666666666666, 'healthiness': 0.3541666666666667}",2,2,4,2,"['&maxReadyTime=61&includeIngredients=eggs%20&fillIngredients=true&addRecipeInformation=true&minCalories=0&minFat=0&minSugar=0&minProtein=0&minCarbs=0&minSodium=0&number=2', '&maxReadyTime=61&includeIngredients=%20rice&excludeIngredients=spinach&fillIngredients=true&addRecipeInformation=true&minCalories=0&minFat=0&minSugar=0&minProtein=0&minCarbs=0&minSodium=0&number=2']","['eggs%20', '%20rice']",00:03:44,,
LyEDB9MaxavBoDpL6UY,5bf03a5d11439b000168d545,button_dialog,not_familiar,18-29,college,['full-time'],occasionnaly,Hungary,male,not_in_UK,3,3,3,0,3,3,2,4,4,4,4,3,0,5,5,6,5,1,1,5,2,5,6,5,5,5,1,4,4,6,6,"{'food_fillingness': -0.75, 'healthiness': 0.5}","{'comfort': -0.08333333333333333, 'food_fillingness': -0.08333333333333333, 'healthiness': 0.125}","{'food_fillingness': -0.4166666666666667, 'healthiness': 0.3125}",1,1,1,1,['&maxReadyTime=11&includeIngredients=tomato&fillIngredients=true&addRecipeInformation=true&minCalories=0&minFat=0&minSugar=0&minProtein=0&minCarbs=0&minSodium=0&number=10'],['tomato'],,,
LyEDD338z5HsFYwVsfA,5bb627b7f047e200014ee3bd,button_dialog,very_familiar,30-49,udergrad,['full-time'],once_day,Uk,female,born_here,5,2,5,2,5,2,5,4,5,5,4,4,3,5,6,5,5,4,3,3,5,5,4,4,4,4,5,5,5,6,4,"{'food_fillingness': -0.75, 'healthiness': 1.0}","{'comfort': -0.25, 'food_fillingness': -0.25, 'healthiness': 0.25}","{'food_fillingness': -0.5, 'healthiness': 0.625}",1,1,3,1,['&maxReadyTime=31&includeIngredients=haddock&fillIngredients=true&addRecipeInformation=true&minCalories=0&minFat=0&minSugar=0&minProtein=0&minCarbs=0&minSodium=0&number=10'],['haddock'],00:05:08,,
LyEDHYafjaM8lbot8UZ,5c9ca10e35bd3a00158c07f6,button_dialog,not_familiar,18-29,college,['student'],several_t_w,UK,female,born_here,3,2,1,3,2,5,2,4,5,5,5,3,1,4,6,4,4,2,3,3,6,5,4,5,5,2,2,4,5,6,5,"{'food_fillingness': 0.5, 'healthiness': 0.5}","{'comfort': 0.16666666666666666, 'food_fillingness': 0.16666666666666666, 'healthiness': -0.041666666666666664}","{'food_fillingness': 0.3333333333333333, 'healthiness': 0.22916666666666666}",1,1,2,1,['noodle%20&maxReadyTime=31&diet=vegetarian&fillIngredients=true&addRecipeInformation=true&minCalories=0&minFat=0&minSugar=0&minProtein=0&minCarbs=0&minSodium=0&number=2'],[''],00:04:18,,
LyEDI3zVeEc3toyA9Eu,5b461982b002f50001253d0e,button_dialog,somewhat_familiar,50-69,college,['unemployed'],once_day,hungary,female,not_in_UK,1,0,2,0,3,1,1,5,4,4,4,5,3,5,5,5,5,5,1,5,5,5,5,5,5,5,3,4,3,6,5,"{'food_fillingness': -0.75, 'healthiness': 0.75}","{'comfort': -0.125, 'food_fillingness': -0.125, 'healthiness': 0.125}","{'food_fillingness': -0.4375, 'healthiness': 0.4375}",2,1,3,1,['&maxReadyTime=31&includeIngredients=lentils&fillIngredients=true&addRecipeInformation=true&minCalories=0&minFat=0&minSugar=0&minProtein=0&minCarbs=0&minSodium=0&number=10'],['lentils'],00:04:00,,
LyEDPde0U1vM6FMIX7Q,5be966c546a77c0001edae3c,button_dialog,somewhat_familiar,18-29,udergrad,['part-time'],once_w,Poland,male,not_in_UK,4,3,2,3,5,4,1,6,3,3,3,2,3,5,5,3,6,6,0,6,5,4,4,4,4,4,1,3,3,6,5,"{'food_fillingness': -0.75, 'healthiness': 0.75}","{'comfort': 0.041666666666666664, 'food_fillingness': 0.041666666666666664, 'healthiness': 0.0}","{'food_fillingness': -0.3541666666666667, 'healthiness': 0.375}",1,4,4,4,"['&maxReadyTime=11&includeIngredients=squid&fillIngredients=true&addRecipeInformation=true&minCalories=0&minFat=0&minSugar=0&minProtein=0&minCarbs=0&minSodium=0&number=2', '&maxReadyTime=11&includeIngredients=pepper&fillIngredients=true&addRecipeInformation=true&minCalories=0&minFat=0&minSugar=0&minProtein=0&minCarbs=0&minSodium=0&number=2', '&maxReadyTime=11&includeIngredients=onion&fillIngredients=true&addRecipeInformation=true&minCalories=0&minFat=0&minSugar=0&minProtein=0&minCarbs=0&minSodium=0&number=2', '&maxReadyTime=11&includeIngredients=mushrooms&fillIngredients=true&addRecipeInformation=true&minCalories=0&minFat=0&minSugar=0&minProtein=0&minCarbs=0&minSodium=0&number=2']","['squid', 'pepper', 'onion', 'mushrooms']",00:07:30,"Cora asks about diet or allergies, however I should be able to tell her what food I do not like - for example, I wouldn't like recipes with mushrooms.","Colors are really bad - the background is white and the buttons are light gray, it was uncomfortable to fill out the study."
LyEIpn5tEBH3Cv_5n1S,5d6ec90d2c0cba000143f47a,button_dialog,somewhat_familiar,18-29,graduate,['full-time'],several_t_w,Portugal,male,not_in_UK,4,2,2,2,4,5,3,5,3,4,4,4,2,6,5,5,5,0,5,1,5,4,4,3,4,4,5,4,3,6,6,"{'food_fillingness': -0.75, 'healthiness': 0.5}","{'comfort': 0.0, 'food_fillingness': 0.0, 'healthiness': 0.08333333333333333}","{'food_fillingness': -0.375, 'healthiness': 0.2916666666666667}",3,2,3,2,"['&maxReadyTime=31&includeIngredients=turkey,chicken,tuna,salmon&fillIngredients=true&addRecipeInformation=true&minCalories=0&minFat=0&minSugar=0&minProtein=0&minCarbs=0&minSodium=0&number=10', '&maxReadyTime=31&includeIngredients=salmon&fillIngredients=true&addRecipeInformation=true&minCalories=0&minFat=0&minSugar=0&minProtein=0&minCarbs=0&minSodium=0&number=10']","['turkey,chicken,tuna,salmon', 'salmon']",00:06:15,"it was nice , i learn new recepies ","It was nice, thank you!"
LyEIrHUiYbEZ-temGqr,5be57da1f6b5dd0001170bbe,button_dialog,somewhat_familiar,30-49,graduate,['full-time'],several_t_w,Polska,female,not_in_UK,2,2,4,2,4,4,2,0,5,5,5,0,0,0,0,2,1,0,1,5,1,0,3,1,4,3,2,4,4,6,5,"{'food_fillingness': 0, 'healthiness': 0}","{'comfort': 0.0, 'food_fillingness': 0.0, 'healthiness': 0.08333333333333333}","{'food_fillingness': 0.0, 'healthiness': 0.041666666666666664}",0,11,21,7,"['sandwich&maxReadyTime=5000&fillIngredients=true&addRecipeInformation=true&minCalories=0&minFat=0&minSugar=0&minProtein=0&minCarbs=0&minSodium=0&number=2', '&maxReadyTime=5000&includeIngredients=cheese&fillIngredients=true&addRecipeInformation=true&minCalories=0&minFat=0&minSugar=0&minProtein=0&minCarbs=0&minSodium=0&number=2', '&maxReadyTime=5000&includeIngredients=%20potatoes&fillIngredients=true&addRecipeInformation=true&minCalories=0&minFat=0&minSugar=0&minProtein=0&minCarbs=0&minSodium=0&number=2', '&maxReadyTime=5000&includeIngredients=beans&fillIngredients=true&addRecipeInformation=true&minCalories=0&minFat=0&minSugar=0&minProtein=0&minCarbs=0&minSodium=0&number=2', 'egg%20&maxReadyTime=5000&fillIngredients=true&addRecipeInformation=true&minCalories=0&minFat=0&minSugar=0&minProtein=0&minCarbs=0&minSodium=0&number=2', '&maxReadyTime=5000&includeIngredients=%20rice&fillIngredients=true&addRecipeInformation=true&minCalories=0&minFat=0&minSugar=0&minProtein=0&minCarbs=0&minSodium=0&number=2', 'wrap&maxReadyTime=5000&fillIngredients=true&addRecipeInformation=true&minCalories=0&minFat=0&minSugar=0&minProtein=0&minCarbs=0&minSodium=0&number=2', '&maxReadyTime=5000&includeIngredients=eggs%20&excludeIngredients=tortilla&fillIngredients=true&addRecipeInformation=true&minCalories=0&minFat=0&minSugar=0&minProtein=0&minCarbs=0&minSodium=0&number=2', 'fish%20cake&maxReadyTime=5000&excludeIngredients=tortilla&fillIngredients=true&addRecipeInformation=true&minCalories=0&minFat=0&minSugar=0&minProtein=0&minCarbs=0&minSodium=0&number=2', '&maxReadyTime=5000&includeIngredients=squid&excludeIngredients=tortilla&fillIngredients=true&addRecipeInformation=true&minCalories=0&minFat=0&minSugar=0&minProtein=0&minCarbs=0&minSodium=0&number=2', 'noodle%20&maxReadyTime=5000&excludeIngredients=tortilla&fillIngredients=true&addRecipeInformation=true&minCalories=0&minFat=0&minSugar=0&minProtein=0&minCarbs=0&minSodium=0&number=2']","['', 'cheese', '%20potatoes', 'beans', '%20rice', 'eggs%20', 'squid']",00:10:46,,
LyEItvSMRlmoJGK-MHF,5c506ed23ef40800012a688a,button_dialog,very_familiar,18-29,udergrad,['student'],once_day,Peru,male,not_in_UK,5,1,0,4,2,5,4,5,6,6,6,2,1,3,6,3,4,0,5,1,4,6,5,6,5,3,0,6,6,6,4,"{'food_fillingness': 0.5, 'healthiness': 0.75}","{'comfort': 0.125, 'food_fillingness': 0.125, 'healthiness': 0.0}","{'food_fillingness': 0.3125, 'healthiness': 0.375}",3,2,4,2,"['&maxReadyTime=51&diet=ketonic&includeIngredients=beef,cauliflower,onion,potato,rice&fillIngredients=true&addRecipeInformation=true&minCalories=0&minFat=0&minSugar=0&minProtein=0&minCarbs=0&minSodium=0&number=10', '&maxReadyTime=51&diet=ketonic&includeIngredients=rice&fillIngredients=true&addRecipeInformation=true&minCalories=0&minFat=0&minSugar=0&minProtein=0&minCarbs=0&minSodium=0&number=10']","['beef,cauliflower,onion,potato,rice', 'rice']",00:04:41,,
LyEIuy7bn7ymvxXMQOB,5a6d12e8038431000194792e,button_dialog,somewhat_familiar,18-29,graduate,['unemployed'],once_day,France,female,not_in_UK,1,1,2,3,6,5,5,3,3,3,2,2,0,2,4,3,3,1,5,1,4,3,2,4,3,4,1,2,2,6,2,"{'food_fillingness': 0.5, 'healthiness': 0.75}","{'comfort': -0.125, 'food_fillingness': -0.125, 'healthiness': -0.041666666666666664}","{'food_fillingness': 0.1875, 'healthiness': 0.3541666666666667}",1,2,3,2,"['&maxReadyTime=21&diet=pescetarian&includeIngredients=bean,zucchini,tofu,rice&fillIngredients=true&addRecipeInformation=true&minCalories=0&minFat=0&minSugar=0&minProtein=0&minCarbs=0&minSodium=0&number=10', '&maxReadyTime=21&diet=pescetarian&includeIngredients=rice&fillIngredients=true&addRecipeInformation=true&minCalories=0&minFat=0&minSugar=0&minProtein=0&minCarbs=0&minSodium=0&number=10']","['bean,zucchini,tofu,rice', 'rice']",00:10:04,"Two criteria were missing to me: the price range of the recipe and the number of ingredients necessary.  Alternatively, it would be nice to be able to turn off some ingredients. For example, it's hard to find fresh tuna where I am, but haddock is common. Since they are both classified as ""fish"" the recipe might call for something I can't access. ",no it was good
LyEIvlRy4d-Yf9092_R,5d28a0594d046f0001a749b5,button_dialog,not_familiar,18-29,graduate,['full-time'],several_t_w,Germany,male,not_in_UK,0,1,0,1,0,1,0,3,4,4,4,4,4,4,6,3,4,3,3,3,5,4,4,4,4,3,1,4,4,6,2,"{'food_fillingness': 0.5, 'healthiness': 0.5}","{'comfort': 0.08333333333333333, 'food_fillingness': 0.08333333333333333, 'healthiness': -0.08333333333333333}","{'food_fillingness': 0.2916666666666667, 'healthiness': 0.20833333333333334}",2,3,5,2,"['noodle%20&maxReadyTime=31&fillIngredients=true&addRecipeInformation=true&minCalories=0&minFat=0&minSugar=0&minProtein=0&minCarbs=0&minSodium=0&number=2', 'egg%20&maxReadyTime=31&excludeIngredients=cherry&fillIngredients=true&addRecipeInformation=true&minCalories=0&minFat=0&minSugar=0&minProtein=0&minCarbs=0&minSodium=0&number=2', '&maxReadyTime=31&includeIngredients=eggs%20&excludeIngredients=cherry&fillIngredients=true&addRecipeInformation=true&minCalories=0&minFat=0&minSugar=0&minProtein=0&minCarbs=0&minSodium=0&number=2']","['', 'eggs%20']",00:05:04,"Cora should include better pictures of the completed meal, that would help with picking it.",
LyEIxpVXy-8bng2DEUk,5dbf4877f33f403e418eb9ac,button_dialog,somewhat_familiar,18-29,college,['student'],once_w,Portugal,male,not_in_UK,1,5,0,1,0,6,1,5,5,6,4,5,0,5,5,4,6,2,2,4,6,6,5,5,5,5,5,6,6,6,5,"{'food_fillingness': 0.5, 'healthiness': 0.5}","{'comfort': 0.25, 'food_fillingness': 0.25, 'healthiness': -0.20833333333333334}","{'food_fillingness': 0.375, 'healthiness': 0.14583333333333331}",1,1,1,1,['&maxReadyTime=61&includeIngredients=broccoli&fillIngredients=true&addRecipeInformation=true&minCalories=0&minFat=0&minSugar=0&minProtein=0&minCarbs=0&minSodium=0&number=10'],['broccoli'],00:04:08,,
LyEIzsVt2rabkXGVz7j,5c9224ef78f1ca00019eccaa,button_dialog,somewhat_familiar,30-49,udergrad,['student'],several_t_w,Finland.,male,not_in_UK,2,1,3,1,4,5,3,5,5,6,6,5,2,6,5,5,5,3,1,5,6,6,6,5,5,4,2,6,6,6,5,"{'food_fillingness': 0.5, 'healthiness': 0.5}","{'comfort': -0.041666666666666664, 'food_fillingness': -0.041666666666666664, 'healthiness': 0.125}","{'food_fillingness': 0.22916666666666666, 'healthiness': 0.3125}",2,2,2,2,"['&maxReadyTime=61&includeIngredients=bean,chicken,onion,mushrooms&fillIngredients=true&addRecipeInformation=true&minCalories=0&minFat=0&minSugar=0&minProtein=0&minCarbs=0&minSodium=0&number=10', '&maxReadyTime=61&includeIngredients=mushrooms&fillIngredients=true&addRecipeInformation=true&minCalories=0&minFat=0&minSugar=0&minProtein=0&minCarbs=0&minSodium=0&number=10']","['bean,chicken,onion,mushrooms', 'mushrooms']",00:06:28,"When the recipe was given, the text size was quite small. On a laptop it was rather difficult to make out some of the words, which was a shame. Would be nicer to get the recipe in text form as well as the picture provided.","I have tried a few websites that offer recipes based on ingredients you write in, but I felt like Cora was the smoothest one I have experienced."
LyEKH1HuNzSAONBM4d4,5d8896bd68b5810019745311,button_dialog,not_familiar,18-29,graduate,['full-time'],once_day,Belgium,female,not_in_UK,5,0,5,0,5,4,4,5,6,6,6,5,0,5,5,5,5,5,3,3,1,5,3,5,5,5,2,6,6,6,5,"{'food_fillingness': -0.75, 'healthiness': 1.0}","{'comfort': -0.20833333333333334, 'food_fillingness': -0.20833333333333334, 'healthiness': 0.4166666666666667}","{'food_fillingness': -0.4791666666666667, 'healthiness': 0.7083333333333334}",2,1,2,1,['&maxReadyTime=31&diet=vegan&includeIngredients=mushrooms&fillIngredients=true&addRecipeInformation=true&minCalories=0&minFat=0&minSugar=0&minProtein=0&minCarbs=0&minSodium=0&number=2'],['mushrooms'],00:04:50,It went really well! I think it went better than when I last did this chatting with Cora.,"No, not really."
LyEL6EaStvPi1-KovfQ,5b0881a82e75960001b8b505,button_dialog,very_familiar,30-49,udergrad,['full-time'],once_day,United Kingdom,female,born_here,3,2,4,2,5,2,3,2,0,0,0,1,0,3,3,3,3,3,2,4,2,3,1,5,3,4,3,0,0,6,2,"{'food_fillingness': 0.5, 'healthiness': 0.5}","{'comfort': -0.16666666666666666, 'food_fillingness': -0.16666666666666666, 'healthiness': 0.125}","{'food_fillingness': 0.16666666666666669, 'healthiness': 0.3125}",0,1,2,1,['&maxReadyTime=31&includeIngredients=eggplant&fillIngredients=true&addRecipeInformation=true&minCalories=0&minFat=0&minSugar=0&minProtein=0&minCarbs=0&minSodium=0&number=10'],['eggplant'],00:08:30,"I wanted to use eggplant/aubergine but I don't recall seeing this ingredient in any of the recipes offered. Also, I picked that I ""didn't like"" the recipes given. The full reason was that in real life I don't have some of the ingredients shown. I liked the questions asked at the beginning such as how hungry I am and the time I wish to spend cooking.",Interesting study! :)
LyEMVGlOL_b8QDf5ZO3,5de145c7a63c7b192a860e33,button_dialog,very_familiar,18-29,graduate,['student'],several_t_w,United States,female,5_to_10y,4,3,4,3,5,5,3,6,6,6,6,5,4,0,6,4,6,5,1,5,6,6,6,3,6,4,3,6,6,6,6,"{'food_fillingness': -0.75, 'healthiness': -0.75}","{'comfort': 0.0, 'food_fillingness': 0.0, 'healthiness': 0.08333333333333333}","{'food_fillingness': -0.375, 'healthiness': -0.3333333333333333}",1,1,5,1,['&maxReadyTime=31&includeIngredients=spinach&fillIngredients=true&addRecipeInformation=true&minCalories=0&minFat=0&minSugar=0&minProtein=0&minCarbs=0&minSodium=0&number=10'],['spinach'],00:04:46,Really liked that you could pick specific ingredients and she'd give you recipes based on those!,
LyEMWjs4txZ-P2I2XyQ,5c65a174effdaa0001d77611,button_dialog,somewhat_familiar,18-29,graduate,['full-time'],once_day,Portugal,male,not_in_UK,3,4,4,3,5,5,3,4,2,3,3,6,5,5,5,3,5,1,3,3,6,5,4,5,5,5,1,3,3,6,5,"{'food_fillingness': 0.5, 'healthiness': 0.5}","{'comfort': 0.0, 'food_fillingness': 0.0, 'healthiness': 0.0}","{'food_fillingness': 0.25, 'healthiness': 0.25}",1,1,2,1,['&maxReadyTime=31&includeIngredients=spinach&fillIngredients=true&addRecipeInformation=true&minCalories=0&minFat=0&minSugar=0&minProtein=0&minCarbs=0&minSodium=0&number=10'],['spinach'],00:03:53,"Very interesting subject, thanks for the opportunity. Cora would be helpful!",
LyEN2LwJ3rWorFdtdvF,5c1f3a7c10677f0001da2157,button_dialog,not_familiar,30-49,secondary,['full-time'],once_w,Finland,male,not_in_UK,0,2,3,1,3,1,0,6,4,3,5,5,5,6,5,4,6,4,0,6,4,5,5,6,4,5,4,4,5,6,5,"{'food_fillingness': 0.5, 'healthiness': 0.75}","{'comfort': -0.041666666666666664, 'food_fillingness': -0.041666666666666664, 'healthiness': 0.0}","{'food_fillingness': 0.22916666666666666, 'healthiness': 0.375}",1,1,1,1,['&maxReadyTime=31&includeIngredients=eggs&fillIngredients=true&addRecipeInformation=true&minCalories=0&minFat=0&minSugar=0&minProtein=0&minCarbs=0&minSodium=0&number=10'],['eggs'],00:03:08,,
LyENJPLaq2uUsh-h2of,5b923c1121e7200001f52183,button_dialog,very_familiar,18-29,secondary,['student'],once_day,Italia,male,not_in_UK,3,1,2,3,5,5,2,4,5,5,5,1,0,3,3,4,4,0,2,4,2,4,4,5,5,1,2,5,5,6,5,"{'food_fillingness': -0.75, 'healthiness': 0.75}","{'comfort': 0.041666666666666664, 'food_fillingness': 0.041666666666666664, 'healthiness': 0.041666666666666664}","{'food_fillingness': -0.3541666666666667, 'healthiness': 0.3958333333333333}",3,2,3,2,"['&maxReadyTime=41&includeIngredients=celery,onion,bean,chicken,chickpea&fillIngredients=true&addRecipeInformation=true&minCalories=0&minFat=0&minSugar=0&minProtein=0&minCarbs=0&minSodium=0&number=10', '&maxReadyTime=41&includeIngredients=chickpea&fillIngredients=true&addRecipeInformation=true&minCalories=0&minFat=0&minSugar=0&minProtein=0&minCarbs=0&minSodium=0&number=10']","['celery,onion,bean,chicken,chickpea', 'chickpea']",00:04:05,,