id,prolific_id,XP_condition,age,education,employment,freq_cook,from,gender,living_in_UK,question1,question2,question3,question4,question5,question6,question7,question1,question17,question18,question19,question2,question22,question23,question24,question3,question4,question5,question6,question7,question8,question8_reversed,question10,question11,question12,question13,question14,question15,question16,question20,question21,question25,question26,question27,question9,food_val_state,food_val_trait,food_values,n_accepted_reco,n_queries,n_reco,n_seed_ingredients,queries,seed_ingredients,duration,free_text_about_cora,free_text_about_study
LtPN3AcH2kzFooGE0yu,5d39ddd133672b0015557242,NONE,18-29,udergrad,['full-time'],once_day,Poland,male,not_in_UK,1,1,2,2,4,4,2,5,5,5,5,6,4,2,1,6,6,4,6,5,1,5,3,5,3,6,5,4,3,5,5,2,5,6,5,"{'food_fillingness': -1, 'healthiness': 1}","{'comfort': 0.0, 'food_fillingness': 0.0, 'healthiness': 0.0}","{'food_fillingness': -0.5, 'healthiness': 1}",1,2,3,2,"['broccoli&maxReadyTime=21&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5', 'spinach&maxReadyTime=21&excludeIngredients=broccoli&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5']","['broccoli', 'spinach']",0:08:19,Cora strangely seemed like a humanut it responded way too quickly for a human being.,
LtPN5YtyYTCi4yIM4Tc,5afc2ce459ae1e00017e4250,human,0,5,2,2,4,4,5
LtPND68U6o4ICIN2zQ9,59edc2c816ecc200016ff9cc,robot,18-29,udergrad,['unemployed'],once_w,United Kingdom,male,born_here,4,4,5,1,5,4,5,4,2,4,2,6,3,0,6,5,5,5,6,5,0,6,6,5,5,6,4,4,5,4,4,1,0,6,4,"{'food_fillingness': 1, 'healthiness': 1}","{'comfort': -0.08333333333333333, 'food_fillingness': -0.1, 'healthiness': 0.08}","{'food_fillingness': 0.45, 'healthiness': 1}",2,2,3,2,"['salmon&maxReadyTime=5000&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5', '%20salad&maxReadyTime=5000&excludeIngredients=salmon&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5']","['salmon', '%20salad']",0:04:45,,
LtPNGmqY8xTz7eVmAbO,5bfff3be0ef039000138b699,NONE,18-29,graduate,['part-time'],once_day,the Netherlands,female,not_in_UK,3,1,2,2,5,5,4,1,0,1,1,3,1,3,1,0,4,3,4,1,6,0,0,0,0,6,0,1,0,1,0,4,3,6,6,"{'food_fillingness': 1, 'healthiness': 1}","{'comfort': -0.03333333333333333, 'food_fillingness': -0.04, 'healthiness': 0.04}","{'food_fillingness': 0.48, 'healthiness': 1}",2,1,5,1,['salmon&maxReadyTime=21&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5'],['salmon'],0:07:21,"Yes, I would have liked something other than salmon (it's so expensive here) but she wasn't capable of giving me that/","I think it's a nice thing, this chatbot, but it's too limited right now."
LtPNPLosVT5NfyxiCWB,5c5c4f764ee81200018eaabe,human,18-29,udergrad,['student'],several_t_w,Portugal,female,not_in_UK,5,4,5,3,4,4,4,5,5,5,5,5,4,3,6,4,6,6,6,4,2,4,4,5,4,6,5,3,4,5,5,5,6,6,5,"{'food_fillingness': -1, 'healthiness': 1}","{'comfort': -0.016666666666666666, 'food_fillingness': -0.02, 'healthiness': 0.06}","{'food_fillingness': -0.51, 'healthiness': 1}",2,1,5,1,['broccoli&maxReadyTime=21&diet=vegan&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5'],['broccoli'],0:10:19,,
LtPNVSxnLtTTj5_i1dK,5d77a8b3bedf45000187c499,robot,30-49,graduate,['full-time'],several_t_w,Portugal,male,not_in_UK,3,3,4,3,4,3,4,3,4,4,5,5,4,5,3,4,6,5,6,3,0,6,2,4,3,5,3,4,2,5,5,4,2,6,3,"{'food_fillingness': -1, 'healthiness': 1}","{'comfort': -0.03333333333333333, 'food_fillingness': -0.04, 'healthiness': 0.02}","{'food_fillingness': -0.52, 'healthiness': 1}",1,1,1,1,['broccoli&maxReadyTime=5000&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5'],['broccoli'],0:07:02,,
LtPNcD_XYSNn0bwZa0K,5c6b031a18f539000128f7f9,robot,18-29,college,"['student', 'unemployed']",several_t_w,Poland,male,not_in_UK,2,5,3,3,4,5,3,4,4,5,4,5,3,6,3,4,5,5,6,6,0,6,4,5,2,6,4,3,2,3,4,6,3,6,3,"{'food_fillingness': 1, 'healthiness': 0}","{'comfort': 0.016666666666666666, 'food_fillingness': 0.02, 'healthiness': -0.06}","{'food_fillingness': 0.51, 'healthiness': 0.47}",0,1,5,1,['soup&maxReadyTime=21&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5'],['soup'],0:07:25,No thanks,That was fun
LtPNh6L6hpTFtbdpWj1,5850ad3a1c68630001f52533,NONE,18-29,udergrad,['full-time'],once_w,UK,male,born_here,1,3,4,2,2,5,4,5,2,2,4,4,5,5,2,4,5,4,5,3,3,3,4,4,4,5,4,4,2,3,2,5,3,6,4,"{'food_fillingness': -1, 'healthiness': 1}","{'comfort': 0.016666666666666666, 'food_fillingness': 0.02, 'healthiness': 0.0}","{'food_fillingness': -0.49, 'healthiness': 1}",0,1,1,1,['broccoli&maxReadyTime=21&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5'],['broccoli'],0:08:01,Asking for details about where I lived seemed a little intrusive.,Was fairly straight forward and I encountered no problems!
LtPNjZlpWWWSOIg8ItJ,5baa1f618e137f00016264c9,human,30-49,udergrad,['full-time'],several_t_w,Israel,female,not_in_UK,2,1,1,4,6,4,0,3,5,5,5,5,3,3,6,3,6,5,6,4,3,3,3,4,5,6,5,5,3,5,5,3,3,6,6,"{'food_fillingness': -1, 'healthiness': 0}","{'comfort': 0.03333333333333333, 'food_fillingness': 0.04, 'healthiness': -0.04}","{'food_fillingness': -0.48, 'healthiness': 0.48}",1,1,2,1,['onion&maxReadyTime=21&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5'],['onion'],0:07:26,no,no
LtPNk8x8n75ndA63vPx,5b44a7f13f470b0001fad504,human,18-29,college,['full-time'],once_day,spain,male,less_5y,1,4,3,4,5,6,4,6,6,5,6,5,5,1,5,6,6,6,6,5,0,6,4,0,5,5,5,6,5,5,5,2,6,6,5,"{'food_fillingness': 0, 'healthiness': 1}","{'comfort': 0.016666666666666666, 'food_fillingness': 0.02, 'healthiness': -0.08}","{'food_fillingness': 0.01, 'healthiness': 0.96}",2,1,2,1,['carrot&maxReadyTime=21&intolerances=gluten&excludeIngredients=gluten&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5'],['carrot'],0:05:55,,
LtPNkXcOrQzABbkpThf,5a18625a0fff620001a6d60e,robot,18-29,graduate,['full-time'],once_w,Mexico,female,less_5y,2,5,3,2,5,5,4,3,4,4,3,5,1,3,4,4,3,4,4,4,2,4,3,3,2,3,3,2,1,3,3,3,3,6,3,"{'food_fillingness': -1, 'healthiness': 1}","{'comfort': -0.03333333333333333, 'food_fillingness': -0.04, 'healthiness': -0.04}","{'food_fillingness': -0.52, 'healthiness': 0.98}",0,1,1,1,['broccoli&maxReadyTime=21&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5'],['broccoli'],0:07:37,It would have been nice if she explained the reasoning behind the recipe. ,
LtPNkt7PDVc8m3oSxkj,5c93de86cf602b000170c25d,NONE,30-49,graduate,['full-time'],once_day,United Kingdom,female,born_here,5,4,3,3,4,4,4,3,4,4,4,1,2,4,1,1,4,4,5,2,3,3,4,2,1,5,4,2,0,3,3,4,5,6,3,"{'food_fillingness': -1, 'healthiness': 0}","{'comfort': -0.016666666666666666, 'food_fillingness': -0.02, 'healthiness': 0.02}","{'food_fillingness': -0.51, 'healthiness': 0.51}",2,1,3,1,['onion&maxReadyTime=21&diet=vegan&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5'],['onion'],0:05:10,"I said I was vegan and the first recipe suggested was not vegan, so I didn't feel confident that it would work with specific dietary preferences.  I would have liked to have been able to tailor her suggestions more to my likes and dislikes, i.e. if she had asked if I'd liked certain dishes.  It would have been useful if i'd been able to input ingredients I had in the house, or a budget.",
LtPNluE5t0CLwo65-Ub,5a95694a4eecca0001dd4721,human,18-29,secondary,['student'],once_w,Spain,male,not_in_UK,2,1,2,3,3,4,3,3,4,3,3,6,4,1,6,5,6,5,6,4,2,4,5,5,3,5,3,5,5,3,2,1,5,6,2,"{'food_fillingness': 1, 'healthiness': 0}","{'comfort': 0.016666666666666666, 'food_fillingness': 0.02, 'healthiness': 0.0}","{'food_fillingness': 0.51, 'healthiness': 0.5}",0,1,3,1,['soup&maxReadyTime=21&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5'],['soup'],0:07:09,,
LtPNou4W9eMGYQBrW-a,5a6a206f3fb6420001c2d9ef,NONE,30-49,graduate,['unemployed'],once_day,Hong Kong,female,not_in_UK,3,2,3,3,5,4,3,1,1,2,3,2,0,3,0,2,4,1,5,1,4,2,1,3,2,5,4,3,0,2,3,4,3,6,4,"{'food_fillingness': 1, 'healthiness': 1}","{'comfort': -0.016666666666666666, 'food_fillingness': -0.02, 'healthiness': 0.02}","{'food_fillingness': 0.49, 'healthiness': 1}",1,1,1,1,['salmon&maxReadyTime=21&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5'],['salmon'],0:06:15,Cora took quite a while to come up with a recipe.,
LtPNp8TU1Zf7exu--Mz,5980f96d413c230001291b41,robot,18-29,college,['student'],several_t_w,USA,female,less_5y,2,2,2,2,2,4,3,4,2,1,4,4,2,3,4,2,4,4,4,4,2,4,4,4,2,4,4,4,4,2,4,3,4,6,4,"{'food_fillingness': -1, 'healthiness': 1}","{'comfort': 0.016666666666666666, 'food_fillingness': 0.02, 'healthiness': 0.0}","{'food_fillingness': -0.49, 'healthiness': 1}",0,1,2,1,['broccoli&maxReadyTime=21&diet=vegan&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5'],['broccoli'],0:04:24,"There are not many parameters that you can narrow your recipe choices by. I would like to be able to find a recipe that is both vegetarian and protein-rich, but was not able to.",
LtPNqP5nI0AxlUx3Wpf,5a6ff03b9cdd18000177543a,robot,30-49,secondary,['part-time'],several_t_w,United States,female,born_here,1,4,2,4,3,4,4,6,2,5,4,6,4,0,3,6,6,6,6,6,3,3,3,4,4,5,3,5,5,4,3,3,0,6,5,"{'food_fillingness': -1, 'healthiness': 0}","{'comfort': 0.016666666666666666, 'food_fillingness': 0.02, 'healthiness': -0.1}","{'food_fillingness': -0.49, 'healthiness': 0.45}",1,1,1,1,['onion&maxReadyTime=21&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5'],['onion'],0:10:17,Great! She was helpful and friendly.i enjoyed,
LtPNr-y2GzPQFHV5Q-k,5af892053aba4900015f0592,human,30-49,graduate,['part-time'],several_t_w,UK,male,born_here,3,3,4,3,4,4,4,4,3,3,3,6,1,1,4,3,5,3,4,4,3,3,3,4,3,6,4,4,3,3,3,4,5,6,4,"{'food_fillingness': -1, 'healthiness': 1}","{'comfort': -0.016666666666666666, 'food_fillingness': -0.02, 'healthiness': 0.02}","{'food_fillingness': -0.51, 'healthiness': 1}",0,1,2,1,['broccoli&maxReadyTime=21&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5'],['broccoli'],0:09:41,Perhaps the way in which a whole paragraph instantly appears increases the feeling I'm chatting to a computer?,
LtPNretLxwm_O1wAgvd,5d7946c85d4c06001a5fca59,NONE,30-49,udergrad,['full-time'],several_t_w,Scotland,female,born_here,5,3,2,2,5,5,2,3,5,4,4,6,1,1,0,3,4,3,4,1,3,3,5,4,4,6,5,5,3,4,4,5,1,6,6,"{'food_fillingness': -1, 'healthiness': 1}","{'comfort': 0.0, 'food_fillingness': 0.0, 'healthiness': 0.04}","{'food_fillingness': -0.5, 'healthiness': 1}",3,1,3,1,['broccoli&maxReadyTime=21&diet=vegan&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5'],['broccoli'],0:07:34,I thought it was fine though it was obvious Cora wasn't human!,I thought it was quite interesting.
LtPOFKmNr3Y0MvKz30H,5ca219fec977ef0001547071,NONE,18-29,secondary,['student'],several_t_w,Poland,male,not_in_UK,0,4,1,1,3,2,1,5,3,2,3,5,6,0,2,5,4,4,5,5,0,6,3,4,4,5,4,4,2,2,2,0,3,6,4,"{'food_fillingness': 1, 'healthiness': 0}","{'comfort': -0.016666666666666666, 'food_fillingness': -0.02, 'healthiness': -0.08}","{'food_fillingness': 0.49, 'healthiness': 0.46}",2,1,2,1,['soup&maxReadyTime=21&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5'],['soup'],0:03:17,"Very well done chatbot, pleasant talk.",
LtPOmhNzEbXTXGCrTNu,5c82f678a4c44a001484dc00,human,18-29,udergrad,"['part-time', 'student']",several_t_w,United Kingdom,male,born_here,1,3,2,2,5,5,4,4,1,2,2,6,2,1,3,4,4,4,4,5,4,2,6,6,4,6,4,4,3,2,2,4,4,6,2,"{'food_fillingness': -1, 'healthiness': 0}","{'comfort': -0.03333333333333333, 'food_fillingness': -0.04, 'healthiness': -0.04}","{'food_fillingness': -0.52, 'healthiness': 0.48}",2,2,5,2,"['onion&maxReadyTime=21&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5', 'pepper&maxReadyTime=21&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5']","['onion', 'pepper']",0:06:19,"Cora didn't seem to store preferences. Asked for no recipes including kale, which it provided for the first recipe recommendation, but then recommended a kale recipe again on the second try. Little annoying to have to mention that twice.",All good
LtPP3EahlvNKk7kOeqA,5cd56625e7f4580015c77130,robot,18-29,graduate,['full-time'],once_day,Poland,female,not_in_UK,0,1,5,1,5,3,5,6,3,3,3,6,2,0,2,4,6,4,4,3,3,3,6,2,3,6,3,1,1,3,3,0,0,6,5,"{'food_fillingness': -1, 'healthiness': 1}","{'comfort': -0.1, 'food_fillingness': -0.12, 'healthiness': 0.06}","{'food_fillingness': -0.56, 'healthiness': 1}",1,2,4,2,"['broccoli&maxReadyTime=21&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5', 'spinach&maxReadyTime=21&excludeIngredients=broccoli&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5']","['broccoli', 'spinach']",0:07:24,,
LtPQFq7XzGxe3Mv4wIV,5b3d0c7477cb3a00019c1bb3,NONE,18-29,college,['student'],several_t_w,"Hamburg, Germany",male,not_in_UK,1,2,2,4,5,5,4,3,5,1,3,1,1,4,1,4,4,1,6,3,4,2,0,1,1,6,2,6,1,1,3,4,6,6,1,"{'food_fillingness': 1, 'healthiness': 1}","{'comfort': 0.0, 'food_fillingness': 0.0, 'healthiness': -0.06}","{'food_fillingness': 0.5, 'healthiness': 0.97}",1,1,4,1,['salmon&maxReadyTime=21&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5'],['salmon'],0:08:23,"Cora doesn't understand negations, e.g ""Do you have a recipe without salmon""
All recommended recipes contained salmon",
