,prolific_id_NONE,prolific_id_robot,prolific_id_human,question_NONE,question_robot,question_human,score_NONE,score_robot,score_human,average_over_questions_NONE,average_over_questions_robot,average_over_questions_human
0,5cd168e9f651de0015a062d2,5b7c89c4db11320001c43c05,5c955419bd4bd9001995fa47,q1,q1,q1,5.0,6.0,5.0,5.0,5.875,4.375
1,5ce16d99dd4e16001971d693,5c5d09991bca630001ea7cb5,5d920df12b679a00182bbc73,q1,q1,q1,6.0,5.0,0.0,6.0,4.0,3.625
2,5c486433929dc500011c908a,5d7d75f4ea2fe40001dff5a4,5d9d17b575f2320016c55550,q1,q1,q1,5.0,5.0,0.0,5.25,5.25,0.625
3,59ba957d3a9ab60001118fc2,5c56550e54f9d30001db7f50,5cf91e3f1756e60017a30568,q1,q1,q1,3.0,4.0,3.0,2.5,4.5,4.625
4,5d6bbd83a9d20a0001de4c75,598c282ccceb0f0001b39660,5d9a125f1714540016a40a27,q1,q1,q1,4.0,2.0,2.0,3.75,3.625,3.0
5,5dae25fc2e361800135fbd02,57f697c6733f560001b5898b,5d8f73849f7774001b90b23e,q1,q1,q1,5.0,6.0,0.0,3.625,3.25,3.375
6,5cdfb5e4b5dcb500011d0d07,5d4551340196ac0001b914a5,591a1f4800a5650001276188,q1,q1,q1,2.0,2.0,4.0,3.125,3.5,4.0
7,5d3067ad3c028b001782ab68,5b213220809d160001a2c36d,5c4a45dda8c31a000141a752,q1,q1,q1,5.0,6.0,2.0,4.625,4.625,3.25
8,5b212164cfbf200001cfb3ad,5d07da55ac77d8001580abb4,5c314de6d5fc960001d2cb93,q1,q1,q1,2.0,3.0,5.0,2.75,3.75,5.0
9,5c4d7aa4d3a5e30001834302,5b7c89c4db11320001c43c05,5b58be8a51ac08000194fcd4,q1,q2,q1,1.0,6.0,4.0,2.0,,3.375
10,5cd168e9f651de0015a062d2,5c5d09991bca630001ea7cb5,5c9aa9ba39138e00169a4eb6,q2,q2,q1,5.0,6.0,6.0,,,5.875
11,5ce16d99dd4e16001971d693,5d7d75f4ea2fe40001dff5a4,5c955419bd4bd9001995fa47,q2,q2,q2,6.0,5.0,5.0,,,
12,5c486433929dc500011c908a,5c56550e54f9d30001db7f50,5d920df12b679a00182bbc73,q2,q2,q2,6.0,5.0,5.0,,,
13,59ba957d3a9ab60001118fc2,598c282ccceb0f0001b39660,5d9d17b575f2320016c55550,q2,q2,q2,5.0,4.0,1.0,,,
14,5d6bbd83a9d20a0001de4c75,57f697c6733f560001b5898b,5cf91e3f1756e60017a30568,q2,q2,q2,4.0,6.0,4.0,,,
15,5dae25fc2e361800135fbd02,5d4551340196ac0001b914a5,5d9a125f1714540016a40a27,q2,q2,q2,3.0,5.0,2.0,,,
16,5cdfb5e4b5dcb500011d0d07,5b213220809d160001a2c36d,5d8f73849f7774001b90b23e,q2,q2,q2,5.0,6.0,6.0,,,
17,5d3067ad3c028b001782ab68,5d07da55ac77d8001580abb4,591a1f4800a5650001276188,q2,q2,q2,4.0,4.0,4.0,,,
18,5b212164cfbf200001cfb3ad,5b7c89c4db11320001c43c05,5c4a45dda8c31a000141a752,q2,q3,q2,1.0,6.0,5.0,,,
19,5c4d7aa4d3a5e30001834302,5c5d09991bca630001ea7cb5,5c314de6d5fc960001d2cb93,q2,q3,q2,2.0,3.0,5.0,,,
20,5cd168e9f651de0015a062d2,5d7d75f4ea2fe40001dff5a4,5b58be8a51ac08000194fcd4,q3,q3,q2,5.0,5.0,5.0,,,
21,5ce16d99dd4e16001971d693,5c56550e54f9d30001db7f50,5c9aa9ba39138e00169a4eb6,q3,q3,q2,6.0,5.0,6.0,,,
22,5c486433929dc500011c908a,598c282ccceb0f0001b39660,5c955419bd4bd9001995fa47,q3,q3,q3,5.0,1.0,4.0,,,
23,59ba957d3a9ab60001118fc2,57f697c6733f560001b5898b,5d920df12b679a00182bbc73,q3,q3,q3,0.0,3.0,6.0,,,
24,5d6bbd83a9d20a0001de4c75,5d4551340196ac0001b914a5,5d9d17b575f2320016c55550,q3,q3,q3,4.0,3.0,0.0,,,
25,5dae25fc2e361800135fbd02,5b213220809d160001a2c36d,5cf91e3f1756e60017a30568,q3,q3,q3,5.0,3.0,5.0,,,
26,5cdfb5e4b5dcb500011d0d07,5d07da55ac77d8001580abb4,5d9a125f1714540016a40a27,q3,q3,q3,2.0,1.0,2.0,,,
27,5d3067ad3c028b001782ab68,5b7c89c4db11320001c43c05,5d8f73849f7774001b90b23e,q3,q4,q3,4.0,6.0,0.0,,,
28,5b212164cfbf200001cfb3ad,5c5d09991bca630001ea7cb5,591a1f4800a5650001276188,q3,q4,q3,2.0,3.0,3.0,,,
29,5c4d7aa4d3a5e30001834302,5d7d75f4ea2fe40001dff5a4,5c4a45dda8c31a000141a752,q3,q4,q3,1.0,5.0,2.0,,,
30,5cd168e9f651de0015a062d2,5c56550e54f9d30001db7f50,5c314de6d5fc960001d2cb93,q4,q4,q3,6.0,5.0,5.0,,,
31,5ce16d99dd4e16001971d693,598c282ccceb0f0001b39660,5b58be8a51ac08000194fcd4,q4,q4,q3,6.0,5.0,4.0,,,
32,5c486433929dc500011c908a,57f697c6733f560001b5898b,5c9aa9ba39138e00169a4eb6,q4,q4,q3,6.0,4.0,6.0,,,
33,59ba957d3a9ab60001118fc2,5d4551340196ac0001b914a5,5c955419bd4bd9001995fa47,q4,q4,q4,3.0,5.0,5.0,,,
34,5d6bbd83a9d20a0001de4c75,5b213220809d160001a2c36d,5d920df12b679a00182bbc73,q4,q4,q4,4.0,6.0,6.0,,,
35,5dae25fc2e361800135fbd02,5d07da55ac77d8001580abb4,5d9d17b575f2320016c55550,q4,q4,q4,4.0,3.0,0.0,,,
36,5cdfb5e4b5dcb500011d0d07,5b7c89c4db11320001c43c05,5cf91e3f1756e60017a30568,q4,q5,q4,6.0,6.0,5.0,,,
37,5d3067ad3c028b001782ab68,5c5d09991bca630001ea7cb5,5d9a125f1714540016a40a27,q4,q5,q4,5.0,4.0,3.0,,,
38,5b212164cfbf200001cfb3ad,5d7d75f4ea2fe40001dff5a4,5d8f73849f7774001b90b23e,q4,q5,q4,2.0,5.0,6.0,,,
39,5c4d7aa4d3a5e30001834302,5c56550e54f9d30001db7f50,591a1f4800a5650001276188,q4,q5,q4,1.0,4.0,5.0,,,
40,5cd168e9f651de0015a062d2,598c282ccceb0f0001b39660,5c4a45dda8c31a000141a752,q5,q5,q4,5.0,2.0,4.0,,,
41,5ce16d99dd4e16001971d693,57f697c6733f560001b5898b,5c314de6d5fc960001d2cb93,q5,q5,q4,6.0,3.0,6.0,,,
42,5c486433929dc500011c908a,5d4551340196ac0001b914a5,5b58be8a51ac08000194fcd4,q5,q5,q4,5.0,3.0,3.0,,,
43,59ba957d3a9ab60001118fc2,5b213220809d160001a2c36d,5c9aa9ba39138e00169a4eb6,q5,q5,q4,0.0,5.0,6.0,,,
44,5d6bbd83a9d20a0001de4c75,5d07da55ac77d8001580abb4,5c955419bd4bd9001995fa47,q5,q5,q5,4.0,6.0,5.0,,,
45,5dae25fc2e361800135fbd02,5b7c89c4db11320001c43c05,5d920df12b679a00182bbc73,q5,q6,q5,2.0,6.0,6.0,,,
46,5cdfb5e4b5dcb500011d0d07,5c5d09991bca630001ea7cb5,5d9d17b575f2320016c55550,q5,q6,q5,2.0,5.0,0.0,,,
47,5d3067ad3c028b001782ab68,5d7d75f4ea2fe40001dff5a4,5cf91e3f1756e60017a30568,q5,q6,q5,5.0,6.0,5.0,,,
48,5b212164cfbf200001cfb3ad,5c56550e54f9d30001db7f50,5d9a125f1714540016a40a27,q5,q6,q5,2.0,4.0,4.0,,,
49,5c4d7aa4d3a5e30001834302,598c282ccceb0f0001b39660,5d8f73849f7774001b90b23e,q5,q6,q5,3.0,6.0,3.0,,,
50,5cd168e9f651de0015a062d2,57f697c6733f560001b5898b,591a1f4800a5650001276188,q6,q6,q5,5.0,3.0,4.0,,,
51,5ce16d99dd4e16001971d693,5d4551340196ac0001b914a5,5c4a45dda8c31a000141a752,q6,q6,q5,6.0,5.0,5.0,,,
52,5c486433929dc500011c908a,5b213220809d160001a2c36d,5c314de6d5fc960001d2cb93,q6,q6,q5,5.0,5.0,5.0,,,
53,59ba957d3a9ab60001118fc2,5d07da55ac77d8001580abb4,5b58be8a51ac08000194fcd4,q6,q6,q5,3.0,6.0,2.0,,,
54,5d6bbd83a9d20a0001de4c75,5b7c89c4db11320001c43c05,5c9aa9ba39138e00169a4eb6,q6,q7,q5,4.0,6.0,6.0,,,
55,5dae25fc2e361800135fbd02,5c5d09991bca630001ea7cb5,5c955419bd4bd9001995fa47,q6,q7,q6,5.0,3.0,5.0,,,
56,5cdfb5e4b5dcb500011d0d07,5d7d75f4ea2fe40001dff5a4,5d920df12b679a00182bbc73,q6,q7,q6,5.0,5.0,6.0,,,
57,5d3067ad3c028b001782ab68,5c56550e54f9d30001db7f50,5d9d17b575f2320016c55550,q6,q7,q6,5.0,5.0,4.0,,,
58,5b212164cfbf200001cfb3ad,598c282ccceb0f0001b39660,5cf91e3f1756e60017a30568,q6,q7,q6,5.0,3.0,6.0,,,
59,5c4d7aa4d3a5e30001834302,57f697c6733f560001b5898b,5d9a125f1714540016a40a27,q6,q7,q6,4.0,0.0,5.0,,,
60,5cd168e9f651de0015a062d2,5d4551340196ac0001b914a5,5d8f73849f7774001b90b23e,q7,q7,q6,5.0,3.0,6.0,,,
61,5ce16d99dd4e16001971d693,5b213220809d160001a2c36d,591a1f4800a5650001276188,q7,q7,q6,6.0,3.0,6.0,,,
62,5c486433929dc500011c908a,5d07da55ac77d8001580abb4,5c4a45dda8c31a000141a752,q7,q7,q6,4.0,3.0,5.0,,,
63,59ba957d3a9ab60001118fc2,5b7c89c4db11320001c43c05,5c314de6d5fc960001d2cb93,q7,q8_r,q6,0.0,5.0,6.0,,,
64,5d6bbd83a9d20a0001de4c75,5c5d09991bca630001ea7cb5,5b58be8a51ac08000194fcd4,q7,q8_r,q6,4.0,3.0,5.0,,,
65,5dae25fc2e361800135fbd02,5d7d75f4ea2fe40001dff5a4,5c9aa9ba39138e00169a4eb6,q7,q8_r,q6,4.0,6.0,6.0,,,
66,5cdfb5e4b5dcb500011d0d07,5c56550e54f9d30001db7f50,5c955419bd4bd9001995fa47,q7,q8_r,q7,2.0,4.0,1.0,,,
67,5d3067ad3c028b001782ab68,598c282ccceb0f0001b39660,5d920df12b679a00182bbc73,q7,q8_r,q7,4.0,6.0,0.0,,,
68,5b212164cfbf200001cfb3ad,57f697c6733f560001b5898b,5d9d17b575f2320016c55550,q7,q8_r,q7,4.0,1.0,0.0,,,
69,5c4d7aa4d3a5e30001834302,5d4551340196ac0001b914a5,5cf91e3f1756e60017a30568,q7,q8_r,q7,2.0,2.0,4.0,,,
70,5cd168e9f651de0015a062d2,5b213220809d160001a2c36d,5d9a125f1714540016a40a27,q8_r,q8_r,q7,4.0,3.0,3.0,,,
71,5ce16d99dd4e16001971d693,5d07da55ac77d8001580abb4,5d8f73849f7774001b90b23e,q8_r,q8_r,q7,6.0,4.0,0.0,,,
72,5c486433929dc500011c908a,,591a1f4800a5650001276188,q8_r,,q7,6.0,,3.0,,,
73,59ba957d3a9ab60001118fc2,,5c4a45dda8c31a000141a752,q8_r,,q7,6.0,,1.0,,,
74,5d6bbd83a9d20a0001de4c75,,5c314de6d5fc960001d2cb93,q8_r,,q7,2.0,,4.0,,,
75,5dae25fc2e361800135fbd02,,5b58be8a51ac08000194fcd4,q8_r,,q7,1.0,,2.0,,,
76,5cdfb5e4b5dcb500011d0d07,,5c9aa9ba39138e00169a4eb6,q8_r,,q7,1.0,,5.0,,,
77,5d3067ad3c028b001782ab68,,5c955419bd4bd9001995fa47,q8_r,,q8_r,5.0,,5.0,,,
78,5b212164cfbf200001cfb3ad,,5d920df12b679a00182bbc73,q8_r,,q8_r,4.0,,0.0,,,
79,5c4d7aa4d3a5e30001834302,,5d9d17b575f2320016c55550,q8_r,,q8_r,2.0,,0.0,,,
80,,,5cf91e3f1756e60017a30568,,,q8_r,,,5.0,,,
81,,,5d9a125f1714540016a40a27,,,q8_r,,,3.0,,,
82,,,5d8f73849f7774001b90b23e,,,q8_r,,,6.0,,,
83,,,591a1f4800a5650001276188,,,q8_r,,,3.0,,,
84,,,5c4a45dda8c31a000141a752,,,q8_r,,,2.0,,,
85,,,5c314de6d5fc960001d2cb93,,,q8_r,,,4.0,,,
86,,,5b58be8a51ac08000194fcd4,,,q8_r,,,2.0,,,
87,,,5c9aa9ba39138e00169a4eb6,,,q8_r,,,6.0,,,
